LStatus,AIncome,ANumberChildren,GCollateralAmount,GGuarantorNumber,Age,AGender_M,GCollateralType_PER,GCollateralType_REA,GCollateralType_SAV,AMaritalStatus_MAR,AMaritalStatus_SEP,AMaritalStatus_SIN,AMaritalStatus_UNR,AMaritalStatus_WID,AOccupation_MER,AOccupation_OTH,AOccupation_OWN,AOccupation_PRV,AOccupation_SLF,AOccupation_UNI,AEducation_HIGHER,AEducation_LOWER,AHousing_OTH,AHousing_OWN,AHousing_REN,AHousing_WEL
0,46400.0,1,0.0,5,41.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,42100.0,2,0.0,5,42.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,37000.0,2,0.0,2,25.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,48000.0,0,0.0,2,41.83333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,29800.0,0,0.0,3,22.58333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,39200.0,0,0.0,2,32.25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,44300.0,0,0.0,2,40.08333333,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,33318.0556663592,2,0.0,2,43.41666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,40700.0,0,0.0,3,34.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,46900.0,0,0.0,2,43.08333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,32200.0,0,0.0,2,35.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38000.0,0,0.0,3,33.5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,41400.0,0,0.0,3,30.16666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,36800.0,0,0.0,2,49.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,43300.0,2,0.0,2,39.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,39400.0,1,0.0,2,34.66666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,34800.0,0,0.0,2,22.66666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,36900.0,0,0.0,2,32.08333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,36600.0,0,0.0,2,31.33333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,27396.4072657666,0,0.0,2,29.33333333,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,36000.0,0,0.0,2,27.41666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,39900.0,1,0.0,2,35.33333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,43200.0,2,0.0,2,43.58333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,41100.0,0,0.0,2,46.58333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,42200.0,0,0.0,2,38.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,26695.620475932,0,0.0,2,27.66666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,49400.0,0,0.0,2,52.66666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,30234.5937759497,0,0.0,2,36.08333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,28587.744816054,0,0.0,2,32.16666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,27700.0,0,0.0,2,21.33333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,46000.0,0,0.0,2,47.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40000.0,0,0.0,2,40.16666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,43200.0,0,0.0,2,43.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,38800.0,0,0.0,2,38.66666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,41900.0,0,0.0,2,42.83333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,36700.0,0,0.0,2,31.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,43100.0,0,0.0,2,46.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,48700.0,0,0.0,2,42.08333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,24418.0633984575,0,0.0,2,22.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,21500.0,0,0.0,2,26.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,37300.0,0,0.0,2,34.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,37100.0,0,0.0,2,26.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,47300.0,2,0.0,2,47.58333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,35800.0,0,0.0,2,29.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,38900.0,0,0.0,2,34.41666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,44800.0,1,0.0,2,48.25,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,35656.9333371515,0,0.0,2,34.08333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
0,31300.0,0,0.0,2,21.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,41300.0,0,0.0,2,38.66666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,49100.0,0,0.0,2,48.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,37000.0,0,0.0,2,38.83333333,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,41800.0,2,0.0,2,46.75,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,37400.0,4,0.0,2,33.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,44400.0,0,0.0,2,43.16666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,37206.3472517124,2,0.0,2,46.41666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,52400.0,2,0.0,2,50.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,43100.0,0,0.0,2,39.83333333,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,29400.0,0,0.0,2,20.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0,36000.0,0,0.0,3,30.41666667,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,34500.0,0,0.0,2,29.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
0,47100.0,2,0.0,2,46.5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,43200.0,0,0.0,2,32.91666667,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,34100.0,0,0.0,2,43.66666667,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
0,41500.0,0,0.0,2,50.91666667,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,40000.0,0,0.0,3,39.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1,40079.5731001258,2,0.0,2,53.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
